simulationId,cowboyCount,seed,starterId,winnerId,winnerOffsetFromStarter,totalShots,winnerRemainingHp,winnerShotsFired,winnerKills,winnerTotalDamageDealt
1,576123,-5801683711861829068,38011,460296,422285,2175684,2,6,4,15
2,576123,8486233449854451859,300977,147081,422227,2175798,2,5,3,12
3,576123,-5896846976892422524,251402,96079,420800,2176398,5,2,2,4
4,576123,-9213116264488548735,345787,191721,422057,2174466,2,3,1,6
5,576123,8860950295461414654,418090,262172,420205,2177539,1,4,2,13
6,576123,-2946473565119993412,322626,166760,420257,2175991,1,5,3,10
7,576123,3594152885448014973,518158,363785,421750,2176096,1,8,5,15
8,576123,5364895215743827928,18974,439660,420686,2175717,2,7,5,22
9,576123,-4679960087526050570,461066,304905,419962,2175495,2,3,2,5
10,576123,-1204888682147892865,489648,334247,420722,2175547,1,5,2,12
