simulationId,cowboyCount,seed,starterId,winnerId,winnerOffsetFromStarter,totalShots,winnerRemainingHp,winnerShotsFired,winnerKills,winnerTotalDamageDealt
1,20,7622549244507814510,0,5,5,68,4,6,4,14
2,20,-176823638348867382,0,14,14,74,3,4,2,12
3,20,4653291594555506559,0,10,10,79,1,6,3,17
4,20,-5429547764223392703,0,14,14,71,3,2,1,6
5,20,1354699720820100286,0,12,12,78,2,5,3,11
6,20,-8558099095430985091,0,10,10,80,5,5,3,10
7,20,7566729063232618657,0,9,9,70,4,4,1,6
8,20,-8796280036588025189,0,14,14,78,1,6,3,15
9,20,-1904176087077157359,0,13,13,71,3,5,4,13
10,20,-5950808297819701377,0,13,13,77,4,4,2,8
11,20,8202580055274905697,0,12,12,72,1,3,2,5
12,20,2069697956329713381,0,10,10,68,5,2,1,8
13,20,2331882227666649723,0,13,13,76,4,7,5,10
14,20,-6907155114764864074,0,9,9,76,2,6,3,16
15,20,5743542032431768924,0,6,6,73,3,5,4,14
16,20,1754090216629634460,0,15,15,67,3,4,2,11
17,20,3000933636146778561,0,2,2,75,1,9,5,26
18,20,-818370409442154536,0,18,18,78,1,4,1,6
19,20,-6494085369291419358,0,5,5,71,2,4,1,12
20,20,-4831476700427871918,0,10,10,71,8,3,3,11
21,20,-7164822578341529121,0,9,9,76,4,3,1,6
22,20,-6681209751587204111,0,12,12,68,6,2,1,6
23,20,-2785428037848741191,0,4,4,74,1,6,4,17
24,20,4092339821109795117,0,10,10,74,7,8,7,18
25,20,3063383483373029763,0,16,16,69,3,3,1,5
26,20,3373133630133326305,0,12,12,77,4,6,4,10
27,20,493181087642310936,0,12,12,71,2,2,1,6
28,20,-1746716152221018267,0,15,15,73,2,5,1,11
29,20,446462409193912975,0,11,11,73,6,1,1,1
30,20,1193011675842738652,0,5,5,81,3,5,2,13
31,20,4831360065858792877,0,14,14,78,4,4,2,10
32,20,8575571794862233545,0,16,16,82,4,2,1,6
33,20,345942164528489626,0,5,5,72,2,10,7,27
34,20,7448151043156876008,0,12,12,70,2,5,2,15
35,20,5239964932791844568,0,13,13,76,3,3,1,6
36,20,-9173191548526301637,0,14,14,68,6,4,3,9
37,20,-2161688254686019728,0,14,14,81,1,8,4,15
38,20,-4645889046326623902,0,19,19,76,1,8,5,17
39,20,-4846666793570864531,0,13,13,72,2,7,5,21
40,20,8504972586755124527,0,12,12,70,2,2,1,6
41,20,2012197841368315278,0,11,11,66,2,3,1,10
42,20,-6052823257482687111,0,12,12,71,7,8,7,22
43,20,8951238588419643446,0,4,4,78,5,3,1,4
44,20,8373285886730576944,0,8,8,79,7,4,2,6
45,20,-6024011126309681497,0,12,12,78,3,4,1,8
46,20,-3199751378429683278,0,15,15,78,3,4,2,6
47,20,-205079082719447953,0,13,13,71,1,5,3,16
48,20,-1230956723516543396,0,13,13,78,2,8,4,13
49,20,9009170572123666977,0,14,14,74,3,4,2,9
50,20,502512276757557602,0,14,14,71,4,2,1,4
51,20,-6468460926580581816,0,18,18,75,3,2,1,3
52,20,-1041959172619497245,0,18,18,77,5,3,2,8
