simulationId,cowboyCount,seed,starterId,winnerId,winnerOffsetFromStarter,totalShots,winnerRemainingHp,winnerShotsFired,winnerKills,winnerTotalDamageDealt
1,5,7622549244507814510,0,1,1,14,2,2,1,7
2,5,-176823638348867382,4,1,2,16,2,3,1,7
3,5,4653291594555506559,4,4,0,14,9,2,1,6
4,5,-5429547764223392703,3,1,3,17,6,4,2,11
5,5,1354699720820100286,2,1,4,20,1,7,3,16
6,5,-8558099095430985091,4,0,1,18,5,3,2,4
7,5,7566729063232618657,0,2,2,16,3,4,2,12
8,5,-8796280036588025189,1,3,2,16,3,6,3,18
9,5,-1904176087077157359,1,2,1,17,5,2,1,7
10,5,-5950808297819701377,1,4,3,22,1,7,3,17
11,5,8202580055274905697,4,1,2,13,4,2,1,5
12,5,2069697956329713381,4,3,4,19,2,4,1,12
13,5,2331882227666649723,4,2,3,16,6,2,1,4
14,5,-6907155114764864074,0,2,2,16,3,4,3,8
15,5,5743542032431768924,4,0,1,17,5,2,1,6
16,5,1754090216629634460,2,0,3,16,5,3,2,8
17,5,3000933636146778561,3,4,1,16,5,5,4,12
18,5,-818370409442154536,0,3,3,15,2,4,3,13
19,5,-6494085369291419358,1,1,0,16,2,3,1,5
20,5,-4831476700427871918,4,4,0,19,1,6,3,14
21,5,-7164822578341529121,3,0,2,20,5,4,2,5
22,5,-6681209751587204111,3,1,3,18,5,4,3,7
23,5,-2785428037848741191,3,0,2,16,8,1,1,2
24,5,4092339821109795117,1,3,2,15,2,2,1,7
25,5,3063383483373029763,4,2,3,17,1,5,3,9
26,5,3373133630133326305,2,2,0,17,7,5,2,12
27,5,493181087642310936,0,1,1,18,3,3,1,8
28,5,-1746716152221018267,4,0,1,17,1,5,3,12
29,5,446462409193912975,2,3,1,21,1,3,1,4
30,5,1193011675842738652,2,0,3,19,4,4,2,7
31,5,4831360065858792877,3,3,0,16,3,6,3,22
32,5,8575571794862233545,1,4,3,15,8,2,2,4
33,5,345942164528489626,4,4,0,21,3,5,2,13
34,5,7448151043156876008,3,1,3,17,1,5,3,12
35,5,5239964932791844568,0,3,3,15,1,5,3,14
36,5,-9173191548526301637,1,4,3,14,8,3,2,8
37,5,-2161688254686019728,4,0,1,18,4,4,2,9
38,5,-4645889046326623902,0,0,0,18,3,6,2,19
39,5,-4846666793570864531,0,2,2,13,2,5,3,19
40,5,8504972586755124527,4,1,2,19,2,5,3,11
41,5,2012197841368315278,4,0,1,18,1,3,1,6
